race,income,sex,schoolYears,age,spend
white,157966.0,male,18.0,31.0,659.97
white,11134.0,female,14.0,50.0,719.69
hispanic,555369.0,male,14.0,32.0,854.61
white,272387.0,female,18.0,52.0,855.2
white,105459.0,female,17.0,49.0,758.33
black,3510.0,female,12.0,49.0,533.07
black,22447.0,female,10.0,49.0,545.74
white,42408.0,female,15.0,50.0,778.19
white,105210.0,female,17.0,51.0,807.93
asian,25200.0,female,14.0,52.0,871.38
hispanic,76053.0,female,14.0,57.0,873.22
white,100536.0,female,18.0,45.0,727.63
white,51951.0,female,16.0,50.0,745.32
white,79929.0,female,17.0,56.0,840.55
hispanic,21152.0,male,13.0,35.0,900.15
black,59654.0,female,12.0,46.0,524.29
white,33333.0,female,13.0,51.0,767.86
black,24300.0,male,13.0,34.0,717.99
white,189942.0,female,18.0,47.0,744.56
hispanic,287726.0,female,15.0,49.0,761.39
white,142130.0,female,18.0,52.0,817.68
other,103484.0,male,18.0,30.0,623.73
asian,134153.0,male,19.0,36.0,818.77
white,62974.0,female,15.0,55.0,816.24
white,462084.0,female,20.0,54.0,866.16
white,63023.0,female,16.0,50.0,801.43
white,34439.0,male,12.0,26.0,506.39
asian,23013.0,male,14.0,37.0,827.21
white,165217.0,female,17.0,56.0,874.39
white,48370.0,female,17.0,54.0,831.69
hispanic,70237.0,male,14.0,38.0,1000.11
hispanic,110351.0,male,17.0,34.0,904.84
white,21896.0,female,13.0,50.0,744.19
white,61543.0,male,15.0,32.0,665.36
white,32735.0,female,13.0,54.0,820.41
other,10395.0,male,12.0,36.0,740.99
hispanic,38857.0,female,12.0,58.0,847.78
white,17465.0,female,14.0,40.0,644.16
white,27075.0,male,15.0,34.0,732.88
white,18698.0,female,14.0,53.0,773.55
white,18561.0,male,16.0,29.0,572.19
white,20454.0,male,14.0,33.0,692.51
white,103303.0,male,18.0,38.0,887.83
white,9288.0,male,14.0,34.0,704.63
white,14797.0,female,14.0,57.0,819.63
hispanic,14088.0,female,11.0,52.0,753.19
black,35395.0,male,12.0,35.0,728.13
other,123978.0,male,18.0,36.0,806.65
black,28382.0,female,11.0,50.0,531.61
other,179740.0,female,16.0,47.0,764.13
white,52580.0,female,17.0,49.0,784.12
white,4073.0,female,14.0,55.0,799.59
hispanic,299429.0,female,15.0,48.0,761.89
white,137229.0,female,17.0,46.0,748.86
white,117839.0,male,19.0,31.0,661.35
white,114119.0,male,18.0,37.0,864.33
hispanic,261806.0,male,16.0,28.0,716.26
white,49836.0,male,16.0,39.0,892.63
hispanic,103769.0,male,16.0,33.0,859.04
other,19208.0,female,12.0,46.0,670.85
white,60252.0,female,17.0,52.0,810.28
hispanic,36346.0,female,12.0,57.0,823.5
white,40826.0,female,15.0,56.0,834.13
hispanic,60200.0,female,13.0,49.0,728.13
other,81196.0,male,16.0,33.0,695.32
white,2274.0,female,14.0,54.0,773.12
hispanic,36810.0,female,13.0,50.0,777.97
other,20183.0,male,13.0,41.0,945.19
white,42232.0,male,16.0,31.0,628.26
asian,32495.0,female,15.0,56.0,936.81
white,11302.0,female,13.0,51.0,744.01
white,24430.0,female,13.0,51.0,785.23
white,35560.0,male,15.0,35.0,741.37
hispanic,72300.0,female,14.0,50.0,780.28
hispanic,34902.0,male,13.0,33.0,848.9
hispanic,553199.0,female,14.0,47.0,774.31
asian,105500.0,male,17.0,34.0,728.02
other,72735.0,female,13.0,56.0,843.65
white,18829.0,male,15.0,31.0,634.27
white,32782.0,male,14.0,34.0,704.28
white,444296.0,male,19.0,32.0,685.23
white,85380.0,male,17.0,24.0,498.31
white,97180.0,male,18.0,36.0,811.99
white,233172.0,female,18.0,49.0,791.53
white,70458.0,male,15.0,35.0,781.01
white,344042.0,male,16.0,32.0,693.5
white,44300.0,male,16.0,30.0,617.9
white,32405.0,male,15.0,29.0,564.63
white,184609.0,male,19.0,30.0,648.28
white,7005.0,male,14.0,36.0,786.38
white,121458.0,male,19.0,34.0,777.32
white,19714.0,male,13.0,35.0,738.93
white,22600.0,female,15.0,56.0,841.12
hispanic,23626.0,other,12.0,21.0,421.93
white,105233.0,male,17.0,32.0,678.84
white,46487.0,female,15.0,49.0,738.66
white,143229.0,female,18.0,51.0,799.28
hispanic,11319.0,female,12.0,51.0,749.61
white,138943.0,male,18.0,35.0,770.69
white,43384.0,female,15.0,47.0,740.62
hispanic,41521.0,female,14.0,57.0,840.36
white,71047.0,female,15.0,46.0,731.27
white,78111.0,female,15.0,50.0,763.39
black,21248.0,male,13.0,28.0,557.0
hispanic,7152.0,female,13.0,49.0,727.74
white,47848.0,female,16.0,51.0,770.25
white,50329.0,female,16.0,49.0,748.08
white,36352.0,male,15.0,31.0,636.81
asian,8801.0,male,14.0,35.0,733.97
asian,86241.0,male,18.0,43.0,1081.23
white,27268.0,female,13.0,43.0,701.42
white,128131.0,male,18.0,36.0,839.17
asian,90621.0,male,20.0,38.0,883.02
asian,19713.0,male,14.0,35.0,754.97
white,92433.0,female,18.0,48.0,759.84
other,382169.0,female,17.0,50.0,796.18
asian,77788.0,female,16.0,48.0,883.4
white,55566.0,male,16.0,34.0,742.09
white,199246.0,male,16.0,31.0,639.12
hispanic,38832.0,female,13.0,56.0,842.09
white,13021.0,female,14.0,52.0,783.71
white,136622.0,female,18.0,50.0,772.04
white,63410.0,female,17.0,51.0,804.35
white,42485.0,male,16.0,33.0,694.98
white,43956.0,male,15.0,34.0,717.33
white,119076.0,female,17.0,49.0,768.76
white,19384.0,male,16.0,35.0,749.96
asian,6959.0,male,15.0,30.0,573.05
